"Band","Min","Max","Mean","Stdev","Date","Site","NLCD"
16,0.01,1.01,0.6,0.37,2019-02-28 11:00:00,"US-CMW","Mixed"
29,0.01,3.27,1.7,1.11,2019-06-01 14:00:00,"US-CMW","Mixed"
32,0.01,3.44,1.93,1.11,2019-06-05 13:00:00,"US-CMW","Mixed"
36,0.01,4.18,2.01,1.66,2019-06-12 10:00:00,"US-CMW","Mixed"
43,0.01,0.46,0.05,0.1,2019-06-20 15:00:00,"US-CMW","Mixed"
49,0.3,3.54,2.78,0.72,2019-07-01 11:00:00,"US-CMW","Mixed"
59,0.49,3.33,2.51,0.67,2019-07-26 16:00:00,"US-CMW","Mixed"
71,2.39,3.5,3.12,0.26,2019-08-17 08:00:00,"US-CMW","Mixed"
75,1.8,3.96,3.23,0.62,2019-08-21 06:00:00,"US-CMW","Mixed"
78,0.01,3.25,1.93,0.92,2019-08-29 11:00:00,"US-CMW","Mixed"
80,2.9,4.5,4.16,0.37,2019-09-02 10:00:00,"US-CMW","Mixed"
82,0.61,2.38,1.59,0.38,2019-09-06 08:00:00,"US-CMW","Mixed"
86,0.31,3.14,2.22,0.8,2019-10-01 14:00:00,"US-CMW","Mixed"
88,1.07,3.04,2.31,0.59,2019-10-05 12:00:00,"US-CMW","Mixed"
91,4.98,7.5,6.45,0.6,2019-10-13 17:00:00,"US-CMW","Mixed"
94,0.18,2.3,1.62,0.56,2019-10-17 16:00:00,"US-CMW","Mixed"
97,0.48,2.38,1.91,0.44,2019-10-21 14:00:00,"US-CMW","Mixed"
104,1.06,1.24,1.15,0.04,2019-11-05 08:00:00,"US-CMW","Mixed"
109,0.62,1.25,1,0.19,2019-12-01 14:00:00,"US-CMW","Mixed"
123,0.01,0.01,0.01,0,2020-01-23 17:00:00,"US-CMW","Mixed"
126,3.67,4.07,3.98,0.1,2020-01-27 15:00:00,"US-CMW","Mixed"
128,2.63,3.24,3.01,0.16,2020-01-31 14:00:00,"US-CMW","Mixed"
130,2.74,3.21,3.06,0.12,2020-02-08 11:00:00,"US-CMW","Mixed"
132,2.77,3.01,2.92,0.07,2020-02-12 09:00:00,"US-CMW","Mixed"
134,0.85,1.96,1.52,0.31,2020-02-13 16:00:00,"US-CMW","Mixed"
