"","Site","Date","NDVI","SAVI","NDMI","NDWI","EVI","BSI","NSMI","NDSI"
"1","US-CMW","2019-01-15",NA,NA,NA,NA,NA,NA,NA,NA
"2","US-CMW","2019-01-17",NA,NA,NA,NA,NA,NA,NA,NA
"3","US-CMW","2019-01-20",0.301241955530738,0.451688960391746,-0.332288748,-0.528078074,0.354696490356049,0.38411079188841,0.077670662,0.72600670495452
"4","US-CMW","2019-01-22",NA,NA,NA,NA,NA,NA,NA,NA
"5","US-CMW","2019-01-25",0.25746216851628,0.386059710331381,-0.32257776,-0.439470486,0.34933377745247,0.35366701920085,0.109461381533726,0.663976875116913
"6","US-CMW","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA
"7","US-CMW","2019-02-11",NA,NA,NA,NA,NA,NA,NA,NA
"8","US-CMW","2019-02-26",NA,NA,NA,NA,NA,NA,NA,NA
"9","US-CMW","2019-03-01",0.219289019601762,0.328833330969685,-0.325093323,-0.367122027,0.374238464838848,0.326170592420473,0.076499415,0.615946173
"10","US-CMW","2019-03-03",NA,NA,NA,NA,NA,NA,NA,NA
"11","US-CMW","2019-03-18",NA,NA,NA,NA,NA,NA,NA,NA
"12","US-CMW","2019-03-28",NA,NA,NA,NA,NA,NA,NA,NA
"13","US-CMW","2019-03-31",0.220939741572365,0.331328790867624,-0.285980641,-0.337116438,0.483946678850637,0.273298295356563,0.08300269,0.567423303781078
"14","US-CMW","2019-04-02",NA,NA,NA,NA,NA,NA,NA,NA
"15","US-CMW","2019-04-07",NA,NA,NA,NA,NA,NA,NA,NA
"16","US-CMW","2019-04-10",0.255565293311299,0.383260467048926,-0.257846146,-0.371830562,0.522608479981177,0.258740653476111,0.093215352,0.574055709
"17","US-CMW","2019-04-15",0.256393192031148,0.384502036554567,-0.271950198,-0.383010277,0.475582282109231,0.278559890245413,0.119998358426196,0.592284025830314
"18","US-CMW","2019-04-20",0.274861639339702,0.412199541045395,-0.267014129,-0.392511628,0.543932147858766,0.268955316,0.104449966223185,0.596178387872578
"19","US-CMW","2019-04-25",0.308265816851201,0.462295398112142,-0.248495985,-0.40767402,0.591369456179257,0.258658671804112,0.142092359547574,0.59513512067444
"20","US-CMW","2019-04-27",NA,NA,NA,NA,NA,NA,NA,NA
"21","US-CMW","2019-04-30",0.414517369020426,0.621645495445957,-0.13412113,-0.447446663,0.915270165407405,0.158707187405745,0.136433792287531,0.549137102876484
"22","US-CMW","2019-05-05",0.490613552769405,0.735776368175101,-0.044148919,-0.49362921,1.05134077939491,0.088145472,0.176831233080082,0.528405101550047
"23","US-CMW","2019-05-07",NA,NA,NA,NA,NA,NA,NA,NA
"24","US-CMW","2019-05-15",NA,NA,NA,NA,NA,NA,NA,NA
"25","US-CMW","2019-05-17",NA,NA,NA,NA,NA,NA,NA,NA
"26","US-CMW","2019-05-22",NA,NA,NA,NA,NA,NA,NA,NA
"27","US-CMW","2019-05-25",0.585440728022866,0.878008323026653,0.081764749,-0.570263136,1.29785304385234,-0.022806026,0.209047463755452,0.517376591307487
"28","US-CMW","2019-05-27",NA,NA,NA,NA,NA,NA,NA,NA
"29","US-CMW","2019-05-30",0.589358399060191,0.883885501366385,0.092908002,-0.569940029,1.43575229791397,-0.038507382,0.194160480045518,0.508013307764863
"30","US-CMW","2019-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"31","US-CMW","2019-06-04",0.586619163223526,0.879782144621806,0.090462105,-0.573291334,1.35401125521862,-0.032699602,0.225205696263562,0.514290402059317
"32","US-CMW","2019-06-06",NA,NA,NA,NA,NA,NA,NA,NA
"33","US-CMW","2019-06-09",0.599557774605212,0.899185214027115,0.092671251,-0.574083783,1.4808822557881,-0.040961813,0.21028723,0.513377659861588
"34","US-CMW","2019-06-11",NA,NA,NA,NA,NA,NA,NA,NA
